# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
6 -16 31 cbdbfc
7 -16 31 cbdbfc
8 -16 31 cbdbfc
9 -16 31 cbdbfc
10 -16 31 cbdbfc
11 -16 31 cbdbfc
12 -16 31 cbdbfc
13 -16 31 cbdbfc
14 -16 31 cbdbfc
15 -16 31 cbdbfc
15 -15 31 cbdbfc
15 -14 31 cbdbfc
15 -13 31 cbdbfc
15 -12 31 cbdbfc
15 -11 31 cbdbfc
15 -10 31 cbdbfc
15 -9 31 cbdbfc
15 -8 31 cbdbfc
15 -7 31 cbdbfc
15 -6 31 cbdbfc
15 -5 31 cbdbfc
15 -4 31 cbdbfc
15 -3 31 cbdbfc
15 -2 31 cbdbfc
15 -1 31 cbdbfc
-16 15 16 cbdbfc
-16 15 17 cbdbfc
-16 15 18 cbdbfc
-16 15 19 cbdbfc
-16 15 20 cbdbfc
-16 15 21 cbdbfc
-16 15 22 cbdbfc
-16 15 23 cbdbfc
-16 15 24 cbdbfc
-16 15 25 cbdbfc
-16 15 26 cbdbfc
-16 15 27 cbdbfc
-16 15 28 cbdbfc
-16 15 29 cbdbfc
-16 15 30 cbdbfc
-16 0 31 cbdbfc
-16 1 31 cbdbfc
-16 2 31 cbdbfc
-16 3 31 cbdbfc
-16 4 31 cbdbfc
-16 5 31 cbdbfc
-16 6 31 cbdbfc
-16 7 31 cbdbfc
-16 8 31 cbdbfc
-16 9 31 cbdbfc
-16 10 31 cbdbfc
-16 11 31 cbdbfc
-16 12 31 cbdbfc
-16 13 31 cbdbfc
-16 14 31 cbdbfc
-16 15 31 cbdbfc
-15 15 31 cbdbfc
-14 15 31 cbdbfc
-13 15 31 cbdbfc
-12 15 31 cbdbfc
-11 15 31 cbdbfc
-10 15 31 cbdbfc
-9 15 31 cbdbfc
-8 15 31 cbdbfc
-7 15 31 cbdbfc
-6 15 31 cbdbfc
-5 15 31 cbdbfc
-4 15 31 cbdbfc
-3 15 31 cbdbfc
-2 15 31 cbdbfc
-1 15 31 cbdbfc
15 15 16 cbdbfc
15 15 17 cbdbfc
15 15 18 cbdbfc
15 15 19 cbdbfc
15 15 20 cbdbfc
15 15 21 cbdbfc
15 15 22 cbdbfc
15 15 23 cbdbfc
15 15 24 cbdbfc
15 15 25 cbdbfc
15 15 26 cbdbfc
15 15 27 cbdbfc
15 15 28 cbdbfc
15 15 29 cbdbfc
15 15 30 cbdbfc
15 0 31 cbdbfc
15 1 31 cbdbfc
15 2 31 cbdbfc
15 3 31 cbdbfc
15 4 31 cbdbfc
15 5 31 cbdbfc
15 6 31 cbdbfc
15 7 31 cbdbfc
15 8 31 cbdbfc
15 9 31 cbdbfc
15 10 31 cbdbfc
15 11 31 cbdbfc
15 12 31 cbdbfc
15 13 31 cbdbfc
15 14 31 cbdbfc
0 15 31 cbdbfc
1 15 31 cbdbfc
2 15 31 cbdbfc
3 15 31 cbdbfc
4 15 31 cbdbfc
5 15 31 cbdbfc
6 15 31 cbdbfc
7 15 31 cbdbfc
8 15 31 cbdbfc
9 15 31 cbdbfc
10 15 31 cbdbfc
11 15 31 cbdbfc
12 15 31 cbdbfc
13 15 31 cbdbfc
14 15 31 cbdbfc
15 15 31 cbdbfc
